,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
387,vestmannaeyjar,70,IS,1579996089,65,63.44,-20.27,39.11,15.39
388,strangnas,96,SE,1579996090,80,59.38,17.03,42.01,14.99
389,townsville,90,AU,1579996090,94,-19.25,146.8,78.8,6.93
390,omboue,14,GA,1579996090,93,-1.57,9.26,76.26,2.46
391,canalete,20,CO,1579996091,70,8.68,-76.2,84.2,10.29
392,bairiki,20,KI,1579996091,74,1.33,172.98,87.8,6.93
393,laem sing,95,TH,1579996091,68,12.48,102.07,82.0,6.24
394,rabo de peixe,40,PT,1579996091,87,37.8,-25.58,57.2,5.82
395,flin flon,90,CA,1579996091,85,54.77,-101.86,19.4,5.82
396,ara,0,IN,1579996091,100,25.57,84.67,50.0,4.81
397,verkhoyansk,18,RU,1579996092,99,67.54,133.38,-45.58,1.59
398,canon city,1,US,1579995925,18,38.44,-105.24,57.2,10.29
399,karratha,0,AU,1579996092,74,-20.74,116.85,85.59,2.82
400,yatou,100,CN,1579996092,66,37.15,122.38,38.86,14.23
401,porto seguro,40,BR,1579996092,83,-16.45,-39.06,80.6,11.41
402,aracruz,75,BR,1579996092,94,-19.82,-40.27,71.6,9.17
403,atherton,90,GB,1579996092,93,53.52,-2.49,45.0,4.7
404,kamina,100,CD,1579996093,97,-8.74,24.99,65.34,2.91
405,sarangani,25,PH,1579996093,79,5.4,125.46,82.0,9.35
406,gazanjyk,0,TM,1579995981,79,39.24,55.52,30.18,2.73
407,marawi,0,PH,1579996093,85,8.0,124.29,80.01,5.01
408,mehamn,100,NO,1579995945,77,71.04,27.85,17.69,21.21
409,nouadhibou,100,MR,1579996094,59,20.93,-17.03,66.2,18.34
410,saint-georges,20,GD,1579996094,83,12.06,-61.75,78.8,5.82
411,joshimath,28,IN,1579996094,47,30.57,79.57,24.55,10.38
412,taksimo,99,RU,1579996094,98,56.34,114.88,-12.08,0.56
413,meulaboh,73,ID,1579996059,82,4.14,96.13,81.19,6.53
414,raudeberg,100,NO,1579995891,100,61.99,5.14,45.0,26.4
415,ugoofaaru,100,MV,1579996095,68,5.67,73.0,82.22,6.58
416,padang,93,ID,1579996095,96,-0.95,100.35,70.02,1.9
417,lakatoro,42,VU,1579996095,71,-16.1,167.42,81.75,10.33
418,sault sainte marie,90,CA,1579995828,100,46.52,-84.33,35.6,3.33
419,havre,90,FR,1579996095,100,49.58,0.33,39.2,4.7
420,bathsheba,75,BB,1579996095,78,13.22,-59.52,78.8,6.93
421,aksu,59,CN,1579995941,75,41.12,80.26,22.17,1.97
422,safaga,0,EG,1579996096,40,26.73,33.94,53.6,8.05
423,belyy,67,RU,1579996096,83,55.84,32.94,27.88,9.4
424,saint anthony,75,US,1579996096,74,45.02,-93.22,32.0,6.93
425,pimentel,50,PE,1579996096,29,-6.84,-79.93,66.2,20.8
426,quatre cocos,40,MU,1579996096,83,-20.21,57.76,77.0,13.87
427,codrington,76,AU,1579995948,89,-38.27,141.97,62.37,14.85
428,avera,1,US,1579996096,70,33.19,-82.53,50.0,4.7
429,goryachegorsk,100,RU,1579996096,81,55.41,88.92,19.94,11.86
430,samarai,67,PG,1579996097,58,-10.62,150.67,87.44,2.62
431,cahors,100,FR,1579996097,93,44.42,1.33,46.0,2.24
432,magadan,100,RU,1579996097,80,59.57,150.8,-1.55,17.76
433,saryg-sep,66,RU,1579996097,93,51.5,95.6,-1.98,1.21
434,vangaindrano,77,MG,1579996097,90,-23.35,47.6,66.92,1.61
435,mbandaka,100,CD,1579996097,38,0.05,18.26,70.65,2.84
436,ayan,0,RU,1579996098,70,56.45,138.17,-18.4,12.15
437,dwarka,0,IN,1579996098,69,22.24,68.97,71.82,11.65
438,hwange,1,ZW,1579996098,86,-18.37,26.5,67.89,0.89
439,talcahuano,0,CL,1579996098,60,-36.72,-73.12,69.8,16.11
440,gidam,79,IN,1579996098,68,18.98,81.4,61.3,1.99
441,grand gaube,40,MU,1579996098,83,-20.01,57.66,77.0,13.87
442,ust-maya,43,RU,1579996098,98,60.42,134.53,-47.43,0.83
443,byron bay,75,AU,1579996024,74,-28.65,153.62,84.99,9.17
444,quang ngai,100,VN,1579996099,86,15.12,108.8,73.2,7.92
445,mildura,0,AU,1579996099,53,-34.2,142.15,77.0,11.41
446,linhares,100,BR,1579996099,94,-19.39,-40.07,73.85,3.91
447,diego de almagro,77,CL,1579996099,64,-26.37,-70.05,69.04,6.02
448,garwa,0,IN,1579996099,61,24.18,83.82,47.61,3.06
449,jilin,0,CN,1579996099,87,43.0,126.0,1.31,2.1
450,the valley,40,AI,1579996099,78,18.22,-63.06,78.8,6.93
451,harnoli,0,PK,1579996100,62,32.28,71.55,49.95,0.47
452,jiangyou,95,CN,1579996100,89,31.77,104.72,29.98,1.5
453,ravar,0,IR,1579996100,57,31.27,56.81,39.06,7.4
454,kinango,100,KE,1579996100,89,-4.14,39.32,76.5,1.92
455,poum,89,NC,1579996100,80,-20.23,164.02,79.9,19.82
456,mareeba,99,AU,1579996078,83,-17.0,145.43,86.0,5.82
457,worcester,90,US,1579996100,100,42.33,-71.83,46.0,8.05
458,beringovskiy,100,RU,1579996091,84,63.05,179.32,14.81,7.85
459,nhulunbuy,75,AU,1579996101,79,-12.23,136.77,86.0,11.41
460,cururupu,100,BR,1579996101,97,-1.83,-44.87,75.88,3.44
461,estelle,1,US,1579996101,62,29.85,-90.11,60.8,3.36
462,road town,20,VG,1579996101,74,18.42,-64.62,78.8,3.36
463,ndele,100,CF,1579996101,15,8.41,20.65,69.53,10.71
464,male,100,MV,1579996102,80,4.17,73.51,80.91,15.01
465,diamantino,94,BR,1579996102,82,-14.41,-56.45,76.15,3.58
466,brae,100,GB,1579996102,87,60.4,-1.35,46.4,18.34
467,conceicao do araguaia,100,BR,1579995986,93,-8.26,-49.26,76.89,3.44
468,sheridan,1,US,1579996102,39,44.83,-106.92,48.2,3.36
469,gimli,98,CA,1579996103,90,50.63,-96.99,24.01,7.0
470,verkhnyaya inta,84,RU,1579996044,99,65.98,60.31,-6.47,0.6
471,havelock,1,US,1579996103,54,34.88,-76.9,55.4,12.75
472,guarapari,75,BR,1579995981,94,-20.67,-40.5,71.6,9.17
473,ovalle,17,CL,1579995973,56,-30.6,-71.2,71.06,4.81
474,doha,0,QA,1579996103,26,25.29,51.53,59.0,13.87
475,tamandare,74,BR,1579996103,85,-8.76,-35.1,81.91,17.96
476,sao miguel do araguaia,99,BR,1579996104,96,-13.28,-50.16,73.89,5.17
477,barabinsk,99,RU,1579996104,94,55.36,78.36,2.57,11.97
478,ipira,100,BR,1579996104,75,-12.16,-39.74,79.75,10.27
479,mbala,26,ZM,1579996104,95,-8.84,31.37,58.62,1.9
480,anadyr,90,RU,1579996104,78,64.75,177.48,15.8,11.18
481,rock sound,16,BS,1579996104,66,24.9,-76.2,73.11,4.79
482,vanimo,30,PG,1579996104,81,-2.67,141.3,83.28,14.9
483,maragogi,74,BR,1579995926,85,-9.01,-35.22,81.91,17.96
484,ingham,90,US,1579996105,86,42.6,-84.38,34.0,4.7
485,dunmore,90,US,1579995899,100,41.42,-75.63,39.99,5.82
486,abja-paluoja,14,EE,1579996105,90,58.13,25.35,30.99,5.97
487,takoradi,94,GH,1579995966,86,4.88,-1.76,75.9,1.32
488,ahuimanu,90,US,1579996105,69,21.44,-157.84,82.4,10.29
489,rapid valley,1,US,1579996105,55,44.06,-103.15,46.4,8.05
490,walvis bay,0,NA,1579996066,100,-22.96,14.51,63.0,2.24
491,asekeyevo,100,RU,1579996106,97,53.57,52.8,20.84,0.69
492,antsohihy,100,MG,1579996106,92,-14.88,47.99,72.9,4.34
493,vallenar,22,CL,1579996106,76,-28.57,-70.76,65.68,6.11
494,tauberbischofsheim,90,DE,1579996106,100,49.62,9.66,35.01,3.36
495,san andres,20,CO,1579995993,65,12.58,-81.7,82.4,11.41
496,santa fe,0,AR,1579996052,27,-31.63,-60.7,83.37,2.3
497,mandera,100,KE,1579996106,61,3.94,41.87,82.81,15.61
498,coracora,100,PE,1579996106,97,-15.03,-73.78,47.75,6.13
499,solnechnyy,52,RU,1579996107,85,50.72,136.63,-9.47,0.98
500,tibiri,43,NE,1579996107,11,13.56,7.05,64.04,11.9
501,avanigadda,86,IN,1579996107,89,16.02,80.92,68.14,1.54
502,mount isa,75,AU,1579996107,100,-20.73,139.5,75.2,5.82
503,nacala,100,MZ,1579996107,96,-14.54,40.67,70.84,3.85
504,auki,2,SB,1579996107,75,-8.77,160.7,83.44,4.61
505,copiapo,23,CL,1579996107,57,-27.37,-70.33,75.2,12.75
506,graaff-reinet,0,ZA,1579996108,84,-32.25,24.53,66.0,2.24
507,seymchan,100,RU,1579996108,95,62.88,152.43,-26.72,8.28
508,nizhnyaya salda,100,RU,1579996108,95,58.08,60.72,14.99,5.82
509,fort morgan,1,US,1579996108,26,40.25,-103.8,50.0,5.82
510,laibin,72,CN,1579996108,83,23.7,109.27,44.15,11.5
511,kysyl-syr,50,RU,1579996108,95,63.9,122.76,-34.51,8.99
512,sorata,85,BO,1579996108,76,-15.77,-68.63,35.28,9.44
513,aklavik,90,CA,1579996108,75,68.22,-135.01,-13.0,23.04
514,sidney,40,AU,1579996055,70,-33.87,151.21,91.99,3.36
515,mackay,90,AU,1579996109,100,-21.15,149.2,78.01,6.93
516,chake chake,100,TZ,1579996109,84,-5.25,39.77,81.95,10.42
517,campo formoso,62,BR,1579996109,83,-10.51,-40.32,71.6,3.4
518,akdepe,49,TM,1579996109,79,42.06,59.38,26.6,9.17
519,la rioja,75,ES,1579996109,100,42.25,-2.5,42.8,3.36
520,tarakan,32,ID,1579996109,84,3.3,117.63,79.27,3.94
521,plouzane,90,FR,1579996109,100,48.38,-4.62,46.4,3.36
522,sampit,97,ID,1579996110,96,-2.53,112.95,75.58,1.59
523,udachnyy,85,RU,1579996110,74,66.42,112.4,-27.4,4.47
524,bose,41,IT,1579996110,80,45.46,8.01,39.99,3.36
525,aljezur,2,PT,1579996110,93,37.32,-8.8,50.0,1.99
526,olafsvik,99,IS,1579996110,79,64.89,-23.71,33.89,7.78
527,rovaniemi,90,FI,1579996110,84,66.5,25.72,3.2,3.36
528,pacific grove,1,US,1579996110,68,36.62,-121.92,66.99,3.11
529,obzor,68,BG,1579996110,61,42.82,27.88,41.0,10.29
530,torquay,44,GB,1579996111,96,50.46,-3.51,48.0,10.63
531,smithers,75,CA,1579996104,96,54.78,-127.17,41.0,8.05
532,bayan,0,CN,1579996111,91,46.08,127.4,-5.39,4.43
533,denia,100,ES,1579996111,90,38.84,0.11,54.0,11.61
534,grindavik,75,IS,1579996111,80,63.84,-22.43,35.6,8.05
535,luderitz,0,NA,1579996111,82,-26.65,15.16,68.0,10.29
536,huilong,100,CN,1579996111,41,31.81,121.66,53.01,15.5
537,pullman,90,US,1579996112,93,46.73,-117.18,48.99,5.82
538,dunedin,49,NZ,1579996112,76,-45.87,170.5,64.99,18.01
539,ixtapa,90,MX,1579996112,94,20.7,-105.2,73.4,8.05
540,qaqortoq,99,GL,1579996089,67,60.72,-46.03,19.4,11.41
541,tazovskiy,89,RU,1579996112,97,67.47,78.7,-5.24,5.28
542,lakes entrance,0,AU,1579996112,58,-37.88,147.98,78.01,1.01
543,baherden,0,TM,1579996112,76,38.44,57.43,30.94,11.16
544,turayf,7,SA,1579996112,93,31.67,38.66,37.4,5.82
545,pangkalanbuun,96,ID,1579996113,96,-2.68,111.62,75.2,0.87
546,bubaque,92,GW,1579996113,75,11.28,-15.83,77.58,13.38
547,marsh harbour,1,BS,1579996113,70,26.54,-77.06,72.93,5.59
548,kazerun,82,IR,1579996113,91,29.62,51.65,44.51,6.06
549,port pirie,90,AU,1579996113,73,-33.18,138.02,71.6,11.41
550,taitung,75,TW,1579996043,100,22.76,121.14,66.2,4.7
551,yelkhovka,75,RU,1579996114,92,53.87,50.28,30.2,1.77
552,biu,12,NG,1579996114,18,10.61,12.19,67.06,17.52
553,maitum,1,PH,1579996114,72,6.04,124.5,81.19,0.85
554,zhigansk,63,RU,1579996114,89,66.77,123.37,-31.56,14.25
555,grand-santi,70,GF,1579996114,97,4.25,-54.38,73.4,4.45
556,moree,90,AU,1579996114,69,-29.47,149.85,78.8,14.99
557,manzhouli,100,CN,1579996115,86,49.6,117.43,-3.23,3.4
558,kupino,91,RU,1579996115,91,54.37,77.3,5.72,14.52
559,alugan,4,PH,1579996087,86,12.22,125.48,79.9,9.98
560,cam ranh,20,VN,1579996115,88,11.92,109.16,73.4,4.7
561,tulun,86,RU,1579996116,80,54.56,100.58,17.96,4.72
562,kwekwe,35,ZW,1579996116,76,-18.93,29.81,62.62,3.8
563,coihaique,75,CL,1579996039,52,-45.58,-72.07,64.4,4.7
564,altay,74,CN,1579996116,57,47.87,88.12,12.43,2.19
565,igarka,99,RU,1579996116,96,67.47,86.58,2.77,6.69
566,berlevag,100,NO,1579995853,73,70.86,29.09,22.66,27.4
567,kathu,20,TH,1579996117,88,7.92,98.33,71.6,8.32
568,grande prairie,40,CA,1579996117,92,55.17,-118.8,12.2,4.7
569,waipawa,18,NZ,1579996109,64,-41.41,175.52,75.2,18.34
570,abha,20,SA,1579996117,93,18.22,42.51,46.4,4.7
571,luganville,31,VU,1579996117,66,-15.53,167.17,83.05,5.68
572,mudgee,75,AU,1579996117,61,-32.59,149.59,82.4,5.82
573,brandon,1,US,1579996118,58,27.94,-82.29,60.8,5.82
574,manzanillo,22,CU,1579995964,66,20.34,-77.12,74.07,4.21
575,la maddalena,32,IT,1579996118,100,41.21,9.41,42.8,3.36
576,horodok,91,UA,1579996118,82,49.16,26.58,32.0,1.99
577,turmeque,100,CO,1579996118,96,5.32,-73.49,53.92,2.15
